id,Title,Content
36023,"Suny Ulster",
36025,"Westchester Community College",
36027,"Cumberland University",
36029,"Cumberlands, University Of The",
36031,"Georgetown College",
36033,"Lindsey Wilson College",
36035,"Pikeville, University Of",
36037,"Shawnee State University",
36039,"Corning Community College",
36041,"Finger Lakes Community College",
36043,"Onondaga Community College",
36045,"Suny Broome Community College",
36047,"Cornell College",
36049,"Grinnell College",
36051,"Illinois College",
36053,"Knox College",
36055,"Lawrence University",
36057,"Monmouth College",
36059,"Ripon College",
36061,"Saint Norbert College",
36063,"Manhattan Christian College",
36065,"Augsburg College",
36067,"Bethel University",
36069,"Carleton College",
36071,"Concordia College (mn)",
36073,"Gustavus Adolphus College",
36076,"Hamline University",
36078,"Macalester College",
36080,"Saint John's University",
36082,"Saint Mary's University (mn)",
36084,"Saint Olaf College",
36086,"Saint Thomas, Univ. Of",
36088,"Jefferson College",
36090,"Mineral Area College",
36092,"Saint Louis Community College",
36094,"State Fair Community College",
36096,"Three Rivers College",
36098,"Bradley University",
36100,"Dallas Baptist Univ.",
36102,"Evansville, University Of",
36104,"Illinois State University",
36106,"Indiana State University",
36108,"Missouri State University",
36110,"Southern Illinois U. (carbondale)",
36112,"Valparaiso University",
36114,"Bismarck State College",
36116,"Dakota College At Bottineau",
36118,"Dawson Community College",
36120,"Lake Region State College",
36122,"Williston State College",
36124,"Charleston, University Of",
36126,"Fairmont State",
36128,"Glenville State College",
36130,"Notre Dame College",
36132,"Shepherd University",
36134,"Urbana University",
36136,"Virginia, University Of-wise",
36138,"West Virginia State University",
36140,"Wheeling Jesuit University",
36142,"Columbia-greene Community College",
36144,"Fulton-montgomery Cc",
36146,"Herkimer County Community College",
36148,"Hudson Valley Community College",
36150,"Mohawk Valley Community College",
36152,"Schenectady County Community College",
36154,"Suny Adirondack",
36156,"Fresno State",
36158,"Nevada, University Of",
36160,"Nevada-las Vegas, U. Of (unlv)",
36162,"New Mexico, University Of",
36164,"San Jose State University",
36166,"United States Air Force Academy",
36168,"Heartland Community College",
36170,"Illinois Central College",
36172,"John Wood Community College",
36174,"Lewis & Clark Community College",
36176,"Lincoln College",
36178,"Parkland College",
36180,"Spoon River College",
36182,"Dupage, College Of",
36184,"Harper College",
36186,"Madison College",
36188,"Milwaukee Area Technical College",
36190,"Rock Valley College",
36192,"Triton College",
36194,"Arlington Baptist College",
36196,"Bethesda University",
36198,"Dallas Christian College",
36200,"Ecclesia College",
36202,"Hiwassee College",
36204,"John Wesley University",
36206,"Johnson University Tennessee",
36208,"Ottawa University-arizona",
36210,"Randall University",
36212,"Trinity Baptist College",
36214,"Southeast Community College",
36216,"Amherst College",
36218,"Bates College",
36220,"Bowdoin College",
36222,"Colby College",
36224,"Hamilton College",
36226,"Middlebury College",
36228,"Trinity College",
36230,"Wesleyan University",
36232,"Williams College",
36234,"Becker College",
36236,"Dean College",
36238,"Elms College",
36240,"Lesley University",
36242,"Mitchell College",
36244,"Southern Vermont College",
36246,"Babson College",
36248,"Clark University",
36250,"Emerson College",
36252,"Massachusetts Inst. Of Tech. (mit)",
36254,"Springfield College",
36256,"United States Coast Guard Acad.",
36258,"Wheaton College (ma)",
36260,"Worcester Polytechnic Institute",
36262,"Kean University",
36264,"Montclair State University",
36266,"New Jersey City University",
36268,"New Jersey, The College Of",
36270,"Ramapo Coll. Of New Jersey",
36272,"Rowan University",
36274,"Rutgers -newark",
36276,"Rutgers University (camden)",
36278,"Stockton University",
36280,"William Paterson University",
36282,"Castleton University",
36284,"Colby-sawyer College",
36286,"Husson University",
36288,"Maine, University Of (farmington)",
36290,"New England College",
36292,"Thomas College",
36294,"Allegheny College",
36296,"Denison University",
36298,"Depauw University",
36300,"Hiram College",
36302,"Kenyon College",
36304,"Oberlin College",
36306,"Ohio Wesleyan University",
36308,"Wabash College",
36309,"Wittenberg University",
36311,"Wooster, The College Of",
36313,"Cazenovia College",
36315,"Gallaudet University",
36317,"Keuka College",
36319,"Lancaster Bible College",
36321,"Lyndon State College",
36323,"Penn State Abington",
36325,"Penn State Berks",
36327,"Pennsylvania Coll. Of Technology",
36329,"Suny Cobleskill",
36331,"Suny Polytechnic Institute",
36333,"Wells College",
36335,"Wilson College",
36337,"Bellevue University",
36339,"Dakota State University",
36341,"Dickinson State University",
36343,"Mayville State University",
36344,"Presentation College",
36346,"Valley City State University",
36348,"Viterbo University",
36350,"Waldorf University",
36352,"Cisco College",
36354,"Hill College",
36356,"Mclennan Community College",
36358,"Temple College",
36360,"Weatherford College",
36362,"Bryant University",
36364,"Central Connecticut State U.",
36366,"Fairleigh Dickinson U. (metropolitan)",
36368,"Liu Brooklyn",
36370,"Mount St. Mary's University",
36372,"Sacred Heart University",
36374,"Wagner College",
36376,"Adelphi University",
36378,"American International College",
36380,"Assumption College",
36382,"Franklin Pierce University",
36384,"Le Moyne College",
36386,"Merrimack College",
36388,"New Haven, University Of",
36390,"Pace University",
36392,"Saint Anselm College",
36394,"Saint Michael's College",
36396,"Saint Rose, The College Of",
36398,"Southern Connecticut State U.",
36400,"Southern New Hampshire University",
36402,"Stonehill College",
36404,"Aurora University",
