ID,Title,address
38071,"Harrisburg Area Community College","E 105, One HACC Drive"
38078,"Northampton Community College","3835 Green Pond Rd"
38080,"Philadelphia, Community College Of","1700 Spring Garden St"
38082,"Thaddeus Stevens College Of Tech.","750 E King St"
38089,"Chipola College","3094 Indian Circle"
38091,"Gulf Coast State College","5230 W Hwy 98"
38102,"Pasco-hernando State College","10230 Ridge Rd"
38107,"Carroll College","1601 North Benton Avenue"
38110,"Montana State U.-northern","300 West 13th St"
38112,"Montana Tech","1300 W. Park St."
38114,"Montana Western, U. Of","710 S. Atlantic St."
38116,"Providence, University Of","(formerly U. of Great Falls)"
38118,"Rocky Mountain College","1511 Poly Dr."
38120,"Arkansas At Monticello, University Of","663 University Dr."
38136,"Cumberland County College","3322 College Drive"
38138,"Essex County College","303 University Ave."
38144,"Passaic County Community College","1 College Blvd."
38149,"Albany Technical College","1704 South Slappey Blvd."
38151,"Andrew College","501 College St"
38153,"Central Georgia Tech. College","3300 Macon Tech Dr."
38158,"South Georgia Technical College","900 South Georgia Tech Pkwy"
38163,"Ferris State University","Ewigleben Sports Complex"
38166,"Lake Superior State University","650 W Easterday Ave."
38168,"Michigan Tech. University","1400 Townsend Dr."
38170,"Northern Michigan University","1401 Presque Isle"
38195,"Rockhurst University","1100 Rockhurst Rd."
38210,"Ohio Valley University","1 Campus View Drive"
38218,"Mount Ida College","777 Dedham St."
38221,"Regis College","235 Wellesley St."
38224,"Saint Joseph's College (me)","278 Whites Bridge Rd."
38227,"Alaska Anchorage, U. Of","Alaska Airlines Center"
38229,"Alaska, University Of","211 Patty Center"
38236,"Seattle Pacific University","3307 3rd Ave W."
38238,"Simon Fraser University","8888 University Drive"
38241,"Western Washington University","516 High St."
38251,"Mount Marty College","1105 W. 8th St."
38256,"Lake Land College","5001 Lake Land Blvd"
38258,"Lincoln Trail College","11220 State Hwy 1"
38260,"Olney Central College","305 North West St"
38263,"Southeastern Illinois College","3575 College Rd."
38265,"Southwestern Illinois College","2500 Carlyle Avenue"
38267,"Dillard University","2601 Gentilly Blvd."
38270,"Philander Smith College","900 West Daisy Bates Drive"
38272,"Southern University At New Orleans","6400 Press Drive"
38299,"Graceland University","1 University Place"
38312,"Manchester University","604 E College Ave."
38315,"Rose-hulman Inst. Of Tech.","5500 Wabash Ave"
38329,"Cleveland State University","2000 Prospect Ave."
38331,"Detroit Mercy, Univ. Of","4001 West McNichols Rd."
38333,"Green Bay (university Of Wisconsin-green Bay)","Kress Events Center"
38336,"Indiana U.-purdue U. Indianapolis","1000 Waterway Blvd"
38343,"Albany Coll. Of Pharmacy & Health Sciences","106 New Scotland Ave"
38345,"Berkeley College","12 East 41st St"
38347,"Culinary Institute Of America, The","1946 Campus Dr."
38349,"King's College, The","56 Broadway"
38351,"Pratt Institute","200 Willoughby Ave"
38353,"Suny Coll. Environmental Science & Forestry","1 Forestry Dr."
38362,"Bahamas, University Of The","PO Box N 4912"
38364,"Barber-scotia College","145 Cabarrus Ave. West"
38367,"Casper College","125 College Dr."
38371,"Dakota County Tech College","1300 145th Street E"
38373,"Eastern Wyoming College","3200 West C St."
38378,"Kankakee Community College","100 College Drive"
38380,"Kennedy-king College","6343 S. Halsted"
38383,"Lamar Community College","2401 S. Main St"
38385,"Lee College","512 S. Whiting"
38387,"Little Big Horn College","1 Forestry Lane"
38389,"Malcolm X College","1900 W Van Buren St"
38391,"North Arkansas College","1515 Pioneer Dr."
38394,"Northwest Kansas Technical College","1209 Harrison St."
38401,"Richard J. Daley College","7500 S. Pulaski Rd."
38403,"Saint Louis Christian College","1360 Grandview Dr"
38406,"San Jacinto College (central)","8060 Spencer Hwy"
38408,"Sheridan College","3059 Coffeen Avenue"
38410,"South Suburban College","15800 State St."
38412,"Southern University Shreveport","3050 Martin Luther King, Jr. Dr."
38414,"Union College (ne)","3800 S. 48th St."
38422,"Little Priest Tribal College","600 4th St."
38430,"Coe College","1220 1st Ave NE"
38450,"Oklahoma Wesleyan U.","2201 Silverlake Rd."
38455,"Saint Mary, University Of","4100 S 4th St"
38477,"Virgin Islands, Univ. Of","#2 John Brewers Bay"
38482,"Goucher College","1021 Dulaney Valley Rd."
38489,"Hobart College","300 Pulteney St."
38508,"Midwestern State University","3410 Taft Blvd."
38510,"Texas A&m University (commerce)","2600 South Neal"
38515,"Western New Mexico Univ.","1000 W. College Avenue"
38521,"Lycoming College","700 College Place"
38546,"Allegany College Of Maryland","12401 Willowbrook Rd"
38551,"Chesapeake College","1000 College Drive"
38555,"Harford Community College","401 Thomas Run Rd"
38557,"Howard Community College","10901 Little Patuxent Pkwy"
38567,"Bristol Community College","777 Elsbree St."
38575,"Roxbury Community College","1350 Tremont Street"
38577,"Springfield Tech Community College","1 Armory Sq"
38580,"Fond Du Lac Tribal & Community College","2101 14th St."
38583,"Itasca Community College","1851 E Hwy 169"
38598,"Richland College","12800 Abrams Rd"
38611,"Alpena Community College","665 Johnson St"
38619,"Jackson College","2111 Emmons Road"
38626,"Mid Michigan Community College","1375 S. Clare Ave."
38629,"Oakland Community College","2900 Featherstone Road"
38655,"Akron, University Of","James A. Rhodes Arena"
38659,"Buffalo, University At","102 Alumni Arena"
38673,"Hampton University","121 Holland Hall"
38675,"Howard University","6th & Girard Streets, N.W."
38678,"Morgan State University","1700 E. Cold Spring Ln"
38684,"South Carolina State U.","300 College St. NE"
38687,"Orange County Community College","115 South St"
38692,"Campbellsville University","1 University Dr."
38700,"Cayuga Community College","197 Franklin St."
38704,"Jefferson Community College","1220 Coffeen St."
38709,"Beloit College","700 College St."
38716,"Lake Forest College","555 N Sheridan Rd"
38722,"Barclay College","607 N. Kingman"
38736,"Missouri State U.-west Plains","128 Garfield Ave."
38741,"Drake University","2507 University Ave."
38746,"Loyola University (il)","6526 North Winthrop Avenue"
38749,"Northern Iowa, Univ. Of","23rd & College"
38756,"Concord University","1000 Vermillion St."
